results_timings: ((1, 10, 10, 100), 0.007814000000000015, 0.011997000000000008)
((1, 10, 10, 600), 0.043540999999999996, 0.07011400000000001)
((1, 10, 110, 100), 0.006981999999999988, 0.012272000000000005)
((1, 10, 110, 600), 0.04131499999999999, 0.07435000000000003)
((1, 110, 10, 100), 0.10306799999999999, 0.059620000000000006)
((1, 110, 10, 600), 0.6120589999999999, 0.358981)
((1, 110, 110, 100), 0.124938, 0.07569800000000004)
((1, 110, 110, 600), 0.7518950000000002, 0.457338)
((2, 10, 10, 100), 0.016661999999999733, 0.02027800000000024)
((2, 10, 10, 600), 0.0394000000000001, 0.04236400000000007)
((2, 10, 110, 100), 0.020763000000000087, 0.021783999999999804)
((2, 10, 110, 600), 0.04210899999999995, 0.04563499999999987)
((2, 110, 10, 100), 0.04273199999999999, 0.047217000000000287)
((2, 110, 10, 600), 0.21573300000000017, 0.1949749999999999)
((2, 110, 110, 100), 0.05617300000000025, 0.05179400000000012)
((2, 110, 110, 600), 0.24410199999999982, 0.24984099999999998)
((3, 10, 10, 100), 0.020063999999999638, 0.01701400000000053)
((3, 10, 10, 600), 0.0345329999999997, 0.044811000000000156)
((3, 10, 110, 100), 0.02226099999999942, 0.026740000000000208)
((3, 10, 110, 600), 0.038127000000000244, 0.04459900000000072)
((3, 110, 10, 100), 0.04854499999999984, 0.0452969999999997)
((3, 110, 10, 600), 0.27242800000000056, 0.2120299999999995)
((3, 110, 110, 100), 0.05474400000000035, 0.0541160000000005)
((3, 110, 110, 600), 0.3064500000000008, 0.2751899999999994)
((4, 10, 10, 100), 0.020478999999999914, 0.0258029999999998)
((4, 10, 10, 600), 0.04683200000000021, 0.04963699999999971)
((4, 10, 110, 100), 0.019870000000000054, 0.02397200000000055)
((4, 10, 110, 600), 0.04564799999999991, 0.0473599999999994)
((4, 110, 10, 100), 0.048664999999999736, 0.05970600000000026)
((4, 110, 10, 600), 0.29256300000000035, 0.2492990000000006)
((4, 110, 110, 100), 0.062253000000000114, 0.06099999999999994)
((4, 110, 110, 600), 0.3718250000000003, 0.29934199999999933)
